Project,Hash,Note
ansible,982bad78862029346577e805be9f33a73ef2ec84,9 projects
boto,f6b219556d42d13aff51b88fec58646f4a6716e1,9 projects
django,300e8baf9429dbf1c5dff478558d793638dc2f54,9 projects
ipython,44705adbfac6740e9ea20ec34f425d0dd5f770d0,9 projects
matplotlib,575e70e20b48f74e58395b8c3d2c66d8fc155cf3,9 projects
nltk,412263afdba4ec6c799bf5e138090d871cbcee15,9 projects
numpy,0794d8f072ae8fc74550a661d646dc122fd47576,9 projects
scipy,44b596e63b2d332b23ffb236f60ea27ab5a9ff55,9 projects
tornado,fdfaf3dffa49479c7461050eacca07bc5ee8d207,9 projects
ajenti,575bfa1638ff7e496acaccfcade3667f6c1b7ed1,16 projects
ansible,10e2fc6f60c242c5d0da0336a539ce886a744a9e,16 projects
augmented-traffic-control,f9c6735564f8e22c3f17d0c98a51c1c7dbaf9006,16 projects
autojump,f26a38e0f9cf16a27ee1291de91d6e245ccdf92a,16 projects
awesome-java,27911c1ceaa498203bcaf184bb5d73c1430b1f7a,16 projects
awesome-machine-learning,8c0af38c0ba61d9f4a1779380a2d85066b1b84fa,16 projects
awesome-python,b4bb1e12c1185a39ffef5f3dde4e7d215e963de5,16 projects
awesome-scala,fd6e00278e313c0d612518741aa3419a164a0c61,16 projects
aws-cli,ec5752471ee1d9c8d4e6c8078ec93366fc46c632,16 projects
beeswithmachineguns,2a6faf8689d687694367643ed22f7d3e9540d73c,16 projects
beets,60e5e388cc7273b97bac1dbb2f9fb5cecc136b2c,16 projects
big-list-of-naughty-strings,84a5dea833b5e2218f7c8c2104effca3f8f155aa,16 projects
boto,d9e5cfe900e1a58717e393c76a6e3580305f217a,16 projects
bottle,c6fd201833a532b093e13199337dca097accb733,16 projects
bup,b283da69ee1a65502f9ddbb7e4603af34e7bde6b,16 projects
celery,a7f806c90f697af3974a28dfc4953382d068cb99,16 projects
chisel,589c527fa278c502cb5c4a6366839d80dd45321a,16 projects
click,09583679ab7b235039ca712c9b044ac397c64322,16 projects
commonmark-spec,f63b610c015d356c403861686c0687edfaf17289,16 projects
compose,bf672ec3405c31a4c9d64984876665c68128c7fe,16 projects
deis,393883e2d35b185164820d35e3ac62a4feba8191,16 projects
django,48888a1a67db0404e5a31c9ca0349984e496f26f,16 projects
django-archive-soc2010-test-refactor,fe09017f70f2687f972b8a4358247fd4be8090c1,16 projects
django-cms,b0fe9939862adac440c2b7a263325ead00aa9afd,16 projects
django-debug-toolbar,00306cad08f3069c914c9fd0f3e10035add0a39e,16 projects
django-rest-framework,9634cea47478507f915bcc0074f7a248df6fd027,16 projects
django-tastypie,cc4474347216678229563bb7a6fa276c3f6f370a,16 projects
docopt,463d780a698cbacb1cf5590ae849b8f890baf25d,16 projects
Dshell,7ee215fc067cc372513f3f9d361e21a9fbf8b6f1,16 projects
eve,9f65547174518f3a385f6a6018ce038c8954a954,16 projects
explainshell,7d727dcc31a8d636980e93b7e3d2b92134654dd0,16 projects
fabric,5217b12f8aca3bc071206f7f4168e62c003509d1,16 projects
faker,574e35b193a411f529943252a5471916a0292444,16 projects
Flashlight,ae5b018cf10b07d01518f45b7df6579d08c7075a,16 projects
flask,15f267e1ee401d317793ac71482d269588d22ff1,16 projects
GitGutter,de43344c3b8a82cc615c1ebaf6462c2fed95e8a4,16 projects
glances,6036eeaa687002ea21c76c9a4179aad8f6d6ea3e,16 projects
Gooey,837f87175b816ab309df25a709920b2ffcbae737,16 projects
gunicorn,e6d63891c9e01873992d9565fa85a1b04ff0b69f,16 projects
howdoi,b10cf8244021b3035c059d7207e2e5fcb2eb67d5,16 projects
httpie,277da1ff9388053787e5948b71af0e94fa75d30b,16 projects
huxley,5f79e4df555b9dc096aab6c5ba2f848a7ac99748,16 projects
iOS-Universal-Framework,9ec1c7f2ead70e0c9ea2176e2621717af4b2777a,16 projects
ipython,5ee65a1a7cb9f441e2e66f08c1bde3be36183a08,16 projects
jieba,b6f1ce773eeadcce87484142154fdd145c2bb49b,16 projects
jinja,9b4b20aa56fde3a5cd5ac49d4feacd96eacb832d,16 projects
keras,025cd16854c6068769c6b65196390a8c8eef67af,16 projects
kivy,5b6915b3911abab690c392861a94c14440e69294,16 projects
legit,98e94a933844a1dc0c1a2483aa832db50b8d4b99,16 projects
letsencrypt,2cab4e577ec4a6b9b602310e74f62b1f762350a4,16 projects
locust,574a32c70d214798b82a3a3cdc64765733d4f46b,16 projects
luigi,0cee5e6001438dab5f75ccda1a3f50b0c17e6658,16 projects
mackup,1c90e0aa3c19c91a3ebd3402a32d73cf6b859383,16 projects
mailinabox,53dc53bf8f5e4a51cb9d7f97280e278b6272a418,16 projects
Mailpile,a08ea9a8c065b64638aab271e3a977cec0c3b64e,16 projects
matplotlib,43e2d0bd758bf1af1d1b395040306dd1602822cb,16 projects
neuraltalk,fed12b46ccae1a81cdcb61feb4c9c036fa7a5eb2,16 projects
newspaper,ec2200331d04c71f698a891a8c8d77ed36de71f2,16 projects
ngxtop,170caa1cd899de051ab961a3e46f7ecfbfed7764,16 projects
nltk,dfa76769dc52782511a162996782d36412f46c73,16 projects
numpy,4750c2810c5e0943cbea8e2acc0337c4e66a9bb2,16 projects
nupic,58c7b7504df469e92e8d86e5933ace2e8fb440ae,16 projects
odoo,83bd1726089a84d7566ce6de4d1a806ace5d7c4d,16 projects
osx-gcc-installer,d7ebd500b36ab19fd9903867ccf386d1e80b179c,16 projects
pandas,db884d97aecbdefce440220a999a172b143d0c1f,16 projects
PathPicker,b7c5f3633f68f510ae8bd662aee376dc97dc95be,16 projects
pattern,3d5cea807676c209a17aa999dc4fe71947e7303c,16 projects
pgcli,d9c62b0925023ce3f255113dd22d615c94a71a05,16 projects
powerline,fc6c3d94741baa77cc75e86510fda88bafe8b9ec,16 projects
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,1cb1aad52f02e3f88d3ecbdb22542d9e3e997a39,16 projects
pyspider,e59bd63b56270d6a4b85905327ae9d726cc4cc75,16 projects
pyston_v1,5472b5e07485be915c40f63a4844965d80bd2aab,16 projects
python-mode,815b374a06550b47fb9a5c970ee9a14f8b048abb,16 projects
python-patterns,66f22083ce9c41f03a900b038c5d73994ed48f4f,16 projects
quietnet,d5a967ad3af14d440d1438404632be04b06731d2,16 projects
reddit,483b3b7f9e3094dfdac6b6c908a71107a70b50bb,16 projects
redis-py,93ee0b97faab8de46a77b8cf140f68912e921e0a,16 projects
requests,13ea7394ccad31ca2bfde77ff3efb1cad9657d98,16 projects
salt,9509d8838b0e7a7e99d74d70f7b5d696b68dcdc0,16 projects
scikit-learn,9865e9acae8f1a5c0282683a0b856f57241e5dcf,16 projects
scipy,afd7fb81891b685ab38ef40b111a59cbcae94024,16 projects
scrapy,8dc400c66d2001a28cd3b717355e5e09a5da7b18,16 projects
seaborn,17dedbe0ac60c05b7dab92a41d1a90b710bfd2ff,16 projects
sentry,0222a9ee831e5472dca89c96f49fcdeb48f891ed,16 projects
sh,c2feefa46bdcdab45f4bf8c84918ec24607d6c28,16 projects
Sick-Beard,7cfff7f0fa69946d37be8762b71b88ac60f10505,16 projects
SourceCodePro,e67117d61cbafdaa35a6fb198c6481b10fb72f98,16 projects
speedtest-cli,7b09d8759fcbbda8a71aa49a4eaa825581b07439,16 projects
sqlmap,8aada250f322627011c2f4059014cb860989c351,16 projects
sshuttle,c1cee695a066807efc14e07081ee181d00ed7b4e,16 projects
stellar,566bcc3ebf725b308568ea30b68a5758a886f98a,16 projects
streisand,20bf22e4532eba1bd6ca75c327f20ed1a7ebb27c,16 projects
SublimeCodeIntel,c1b34873a90c3502de77dd983a93ec7bd5293d7e,16 projects
TextBlob,91146e729614d9ee6f054543ad2a5903fc4a9b40,16 projects
thefuck,f374142bf82b1599402f4c3889c2694fc227be83,16 projects
tornado,d50be4e5f53fbff7a0a6bf0b4197c94827b67ed6,16 projects
tweepy,94a0e11a45720877a8c23bd2575636a49d07991d,16 projects
wagtail,2eb4b4c2c1ef2015ae68485184b800304ce152c4,16 projects
webpy,503d560755a8a87338b013b03c7c8beedfa63fb5,16 projects
XX-Net,db4af1e2e8ab0c2fb0d9ff645e444d478e13d1dc,16 projects
yapf,a784d77766bcd205d49e6281500c00d74d480500,16 projects
YouCompleteMe,dec2287638305a78b192daf7235aafc9ed62d7e0,16 projects
youtube-dl,7308b8cb3df5a2df0a86e8050c83b951004a0aca,16 projects
yowsup,13e3602f1557495cf82d7242932d44c5cbdca93e,16 projects
zipline,915c8e800f1b39e74687405ca95f693780242f5d,16 projects
zulip,d5435fad1d45008a48629ddf26bb47d9060c7931,16 projects
